ID,lemma,pos,frequency,WPM
122,quedar,VERB,29433,855.2448230926389
123,siempre,ADV,29029,843.5056558813649
124,ahí,ADV,28896,839.6410290519109
125,trabajo,NOUN,28825,837.5779575865632
126,noche,NOUN,27930,811.5716341853499
127,gran,ADJ,27589,801.6630796827648
128,poco,ADV,27508,799.3094347715934
129,menos,ADV,27135,788.4710452423727
130,mujer,NOUN,27090,787.1634647361665
131,donde,PRON,27048,785.9430562637073
132,desde,ADP,26920,782.223716157165
133,hora,NOUN,26903,781.7297412992649
134,lugar,NOUN,26756,777.4583116456578
135,trabajar,VERB,26653,774.4654051536746
136,tratar,VERB,26601,772.9544232353918
137,nadie,PRON,25995,755.3456724184808
138,quã,ADP,25975,754.7645255268336
139,hijo,NOUN,25866,751.5972749673563
140,seguro,ADJ,25537,742.0374085997594
141,sr.,PROPN,25466,739.9743371344117
142,matar,VERB,25218,732.7681156779861
143,solo,ADJ,25156,730.9665603138798
144,conocer,VERB,25131,730.2401266993207
145,dios,PROPN,24844,721.900668804183
146,problema,NOUN,24437,710.074329559162
147,acabar,VERB,24316,706.5583908646963
148,parte,NOUN,23992,697.1438112200113
149,persona,NOUN,23950,695.9234027475521
150,importar,VERB,23677,687.9907476765675
151,tres,NUM,23568,684.8234971170901
152,otro,PRON,23359,678.7505120993766
153,bueno,ADJ,23244,675.408917472405
154,momento,NOUN,23139,672.3578962912571
155,buscar,VERB,22999,668.2898680497266
156,dinero,NOUN,22930,666.2849112735436
157,mirar,VERB,22725,660.3281556341595
158,mundo,NOUN,22717,660.0956968775007
159,nombre,NOUN,22176,644.3756734584432
160,hacer él,VERB,22066,641.1793655543835
161,poder,VERB,21493,624.5295071086905
162,último,ADJ,21492,624.5004497641081
163,único,ADJ,21384,621.362256549213
164,luego,ADV,21317,619.4154144621949
165,ninguno,DET,20993,610.0008348175098
166,hola,PROPN,20971,609.361573236698
167,perder,VERB,20506,595.8499080058999
168,solo,ADV,20121,584.6628303416908
169,mismo,DET,19981,580.5948021001603
170,vivir,VERB,19957,579.8974258301836
171,morir,VERB,19823,576.0037416561471
172,después,ADV,19775,574.6089891161938
173,chico,NOUN,19723,573.0980071979111
174,quien,PRON,19713,572.8074337520875
175,pedir,VERB,19540,567.780513139339
176,usar,VERB,19180,557.319869089689
177,idea,NOUN,18988,551.7408589298756
178,cada,DET,18897,549.0966405728807
179,intentar,VERB,18720,543.9534905818027
180,estã,ADJ,18531,538.4616524557364
181,entrar,VERB,18408,534.887599072106
182,chica,NOUN,17973,522.2476541787788
183,bueno,INTJ,17808,517.4531923226892
184,empezar,VERB,17455,507.1959496851157
185,gracias,NOUN,17200,499.7863268166136
186,mano,NOUN,17025,494.70129151470036
187,estás,PROPN,16841,489.35474011154594
188,forma,NOUN,16819,488.71547853073395
189,entre,ADP,16792,487.9309302270102
190,demasiado,ADV,16654,483.92101667464436
191,©,VERB,16455,478.13860510275447
192,significar,VERB,16228,471.54258788255845
193,pequeño,ADJ,16117,468.31722263391634
194,entender,VERB,16103,467.9104198097633
195,ayudar,VERB,15817,459.600019259208
196,niño,NOUN,15711,456.51994073347765
197,madre,NOUN,15633,454.25346785605353
198,suponer,VERB,15473,449.6042927228757
199,tal,NOUN,15372,446.66950092005726
200,semana,NOUN,15357,446.23364075132184
201,caso,NOUN,15268,443.64753708349167
202,realmente,ADV,15243,442.92110346893264
203,cualquiera,DET,15093,438.5625017815785
204,minuto,NOUN,14893,432.7510328651062
205,traer,VERB,14841,431.24005094682343
206,conseguir,VERB,14659,425.95161423283366
207,cambiar,VERB,14425,419.15219560056113
208,familia,NOUN,14406,418.6001060534963
209,aún,ADV,14404,418.5419913643315
210,allí,ADV,14356,417.1472388243782
211,viejo,ADJ,14337,416.59514927731334
212,siento,ADJ,14300,415.520027527766
213,pagar,VERB,14289,415.20039673736
214,preguntar,VERB,14243,413.86375888657136
215,razón,NOUN,14006,406.97716822055173
216,señor,NOUN,13807,401.1947566486619
217,©,ADJ,13657,396.83615496130767
218,terminar,VERB,13633,396.138778691331
219,fuera,ADV,13575,394.45345270555407
220,mã¡s,ADJ,13447,390.73411259901184
221,cuenta,NOUN,13369,388.46763972158766
222,oír,VERB,13311,386.78231373581065
223,contar,VERB,13301,386.49174028998704
224,grande,ADJ,13230,384.42866882463943
225,hacia,ADP,13156,382.2784253255447
226,malo,ADJ,13138,381.75539312306216
227,contra,ADP,13041,378.93683069857315
228,arma,NOUN,13040,378.90777335399076
229,hoy,ADV,13011,378.0651103611023
230,hermano,NOUN,12995,377.6001928477845
231,preocupar,VERB,12979,377.1352753344667
232,durante,ADP,12957,376.4960137536548
233,policía,NOUN,12933,375.79863748367814
234,lado,NOUN,12801,371.9630679988065
235,puerta,NOUN,12661,367.89503975727587
236,jugar,VERB,12653,367.66258100061697
237,recordar,VERB,12357,359.06160700423806
238,historia,NOUN,12335,358.42234542342607
239,vas,NOUN,12247,355.8652991001783
240,punto,NOUN,12236,355.54566830977234
241,cabeza,NOUN,12112,351.9425575815595
242,casi,ADV,12086,351.1870666224181
243,ã,PROPN,12086,351.1870666224181
244,sacar,VERB,12078,350.9546078657593
245,ganar,VERB,12072,350.7802637982651
246,junto,ADJ,12053,350.22817425120024
247,manera,NOUN,12013,349.0658804679058
248,mierda,NOUN,11919,346.3344900771638
249,hecho,ADJ,11709,340.23244771486793
250,clase,NOUN,11633,338.02408952660846
251,mismo,ADJ,11390,330.9631547930947
252,escuchar,VERB,11376,330.55635196894167
253,realidad,NOUN,11225,326.16869293700506
254,poco,PRON,11192,325.2098005657872
255,enviar,VERB,11168,324.5124242958105
256,cinco,NUM,11168,324.5124242958105
257,mientras,SCONJ,11144,323.81504802583385
258,importante,ADJ,11108,322.7689836208688
259,equipo,NOUN,11096,322.4202954858805
260,quier,NOUN,11089,322.216894073804
261,maldito,ADJ,11057,321.28705904716844
262,dentro,ADV,10952,318.23603786602047
263,muerto,ADJ,10922,317.36431752854963
264,camino,NOUN,10873,315.9405076440139
265,encantar,VERB,10798,313.7612068003369
266,fin,NOUN,10766,312.8313717737013
267,auto,NOUN,10669,310.01280934921226
268,mes,NOUN,10611,308.32748336343525
269,comer,VERB,10556,306.72932941140544
270,comprar,VERB,10547,306.46781331016416
271,palabra,NOUN,10537,306.17723986434055
272,mal,ADV,10520,305.6832650064404
273,par,NOUN,10445,303.5039641627633
274,bajo,ADP,10404,302.3126130348865
275,sí,ADV,10219,296.93700428714965
276,bastante,ADV,10184,295.91999722676707
277,n,NOUN,10106,293.6535243493429
278,ocurrir,VERB,10082,292.9561480793662
279,ojo,NOUN,10025,291.2998794381716
280,caer,VERB,10004,290.689675201942
281,cuatro,NUM,9940,288.83000514867086
282,the,PROPN,9923,288.33603029077074
283,esposa,NOUN,9859,286.47636023749965
284,saber,AUX,9768,283.83214188050476
285,tarde,ADV,9762,283.6577978130106
286,decir él,VERB,9731,282.7570201309574
287,siquiera,NOUN,9690,281.5656690030806
288,propio,DET,9672,281.0426368005981
289,cierto,ADJ,9636,279.9965723956331
290,e,CCONJ,9584,278.48559047735023
291,amor,NOUN,9556,277.67198482904416
292,señor,INTJ,9554,277.61387013987945
293,cerca,ADV,9549,277.46858341696765
294,suerte,NOUN,9548,277.43952607238526
295,dijistir,VERB,9536,277.09083793739694
296,listo,ADJ,9492,275.8123147757731
297,número,NOUN,9454,274.7081356816433
298,suficiente,ADJ,9402,273.1971537633605
299,hija,NOUN,9394,272.9646950067017
300,tocar,VERB,9367,272.1801467029779
301,ciudad,NOUN,9353,271.77334387882485
302,quieres,PROPN,9353,271.77334387882485
303,cuál,PRON,9349,271.65711450049537
304,pregunta,NOUN,9333,271.1921969871776
305,diablo,NOUN,9331,271.13408229801286
306,mantener,VERB,9294,270.0589605484655
307,mi,PROPN,9262,269.12912552182996
308,favor,PROPN,9261,269.1000681772476
309,cara,NOUN,9211,267.6472009481295
310,papá,NOUN,9196,267.2113407793941
311,aquã­,NOUN,9147,265.78753089485843
312,suceder,VERB,9120,265.0029825911347
313,todavía,ADV,9019,262.06819078831614
314,quizá,ADV,9014,261.92290406540434
315,cuerpo,NOUN,9009,261.77761734249253
316,plan,NOUN,8928,259.42397243132126
317,prueba,NOUN,8911,258.92999757342113
318,vuelta,NOUN,8902,258.6684814721799
319,segundo,ADJ,8872,257.7967611347091
320,serio,ADJ,8855,257.3027862768089
321,abrir,VERB,8839,256.83786876349114
322,oportunidad,NOUN,8804,255.82086170310853
323,amar,VERB,8774,254.94914136563764
324,dr.,PROPN,8751,254.28082244024336
325,recibir,VERB,8748,254.1936504064963
326,mañana,ADV,8703,252.88606990029
327,agente,NOUN,8684,252.33398035322512
328,llamado,ADJ,8650,251.3460306374249
329,dormir,VERB,8633,250.85205577952473
330,regresar,VERB,8612,250.24185154329513
331,difícil,ADJ,8470,246.11570861259983
332,dar él,VERB,8452,245.59267641011735
333,muerte,NOUN,8440,245.24398827512903
334,claro,ADV,8389,243.7620637014286
335,millón,NOUN,8388,243.73300635684623
336,fiesta,NOUN,8380,243.50054760018733
337,valer,VERB,8371,243.23903149894608
338,funcionar,VERB,8292,240.94350127693951
339,ayuda,NOUN,8288,240.8272718986101
340,alguno,PRON,8276,240.47858376362174
341,agua,NOUN,8259,239.98460890572161
342,mío,PRON,8241,239.46157670323913
343,mil,NUM,8161,237.13698913665021
344,robar,VERB,8155,236.96264506915603
345,escribir,VERB,8142,236.58489958958535
346,seis,NUM,8108,235.59694987378506
347,algo,ADV,8051,233.94068123259046
348,foto,NOUN,7984,231.99383914557225
349,meter,VERB,7981,231.9066671118252
350,hecho,NOUN,7971,231.61609366600158
351,juego,NOUN,7964,231.41269225392503
352,miedo,NOUN,7962,231.35457756476035
353,próximo,ADJ,7961,231.32552022017796
354,gracia,NOUN,7956,231.18023349726616
355,mamá,NOUN,7932,230.4828572272895
356,puta,NOUN,7913,229.93076768022462
357,mas,ADV,7900,229.55302220065394
358,rápido,ADJ,7780,226.06614085077058
359,ver él,VERB,7744,225.02007644580556
360,allá,ADV,7742,224.96196175664085
361,sangre,NOUN,7695,223.59626656126986
362,jefe,NOUN,7615,221.27167899468097
363,exactamente,ADV,7608,221.06827758260442
364,oh,INTJ,7573,220.05127052222178
365,libro,NOUN,7572,220.02221317763943
366,sonar,VERB,7555,219.5282383197393
367,confiar,VERB,7550,219.3829515968275
368,crees,NOUN,7531,218.83086204976263
369,culpa,NOUN,7525,218.65651798226844
370,tío,NOUN,7516,218.3950018810272
371,coche,NOUN,7485,217.494224198974
372,asunto,NOUN,7413,215.402095389044
373,leer,VERB,7410,215.3149233552969
374,luz,NOUN,7391,214.76283380823205
375,estã,PROPN,7364,213.9782855045083
376,feliz,ADJ,7354,213.68771205868467
377,mismo,PRON,7351,213.6005400249376
378,20,NUM,7341,213.309966579114
379,mayor,ADJ,7341,213.309966579114
380,10,NUM,7313,212.49636093080787
381,nueva,PROPN,7259,210.92726432336036
382,mejor,ADV,7255,210.8110349450309
383,guerra,NOUN,7233,210.17177336421895
384,fuerte,ADJ,7229,210.05554398588953
385,posible,ADJ,7216,209.67779850631885
386,teléfono,NOUN,7208,209.44533974965992
387,resto,NOUN,7201,209.2419383375834
388,negocio,NOUN,7134,207.2950962505652
389,cual,PRON,7118,206.83017873724742
390,demonio,NOUN,7076,205.60977026478824
391,comida,NOUN,7064,205.26108212979992
392,disparar,VERB,7063,205.23202478521753
393,sea,NOUN,7062,205.2029674406352
394,hermana,NOUN,7019,203.95350162359364
395,echar,VERB,6987,203.0236665969581
396,tanto,DET,6966,202.41346236072852
397,sabes,PROPN,6955,202.09383157032252
398,poder,NOUN,6947,201.86137281366365
399,hagar,VERB,6931,201.39645530034585
400,alegrar,VERB,6900,200.49567761829266
401,tal,DET,6897,200.4085055845456
402,eres,PROPN,6874,199.74018665915128
403,correr,VERB,6829,198.43260615294503
404,pronto,ADV,6828,198.40354880836264
405,subir,VERB,6796,197.4737137817271
406,salvar,VERB,6786,197.1831403359035
407,you,PROPN,6780,197.00879626840933
408,decidir,VERB,6775,196.86350954549752
409,sitio,NOUN,6743,195.93367451886195
410,sistema,NOUN,6733,195.64310107303834
411,peor,ADJ,6731,195.58498638387363
412,olvidar,VERB,6690,194.3936352559968
413,arriba,ADV,6669,193.78343101976722
414,convertir,VERB,6637,192.85359599313165
415,comenzar,VERB,6554,190.44183639279566
416,diez,NUM,6547,190.23843498071912
417,supuesto,ADJ,6494,188.698395717854
418,genial,ADJ,6490,188.58216633952455
419,corazón,NOUN,6445,187.2745858333183
420,tambiã,ADJ,6391,185.7054892258708
421,deber,VERB,6382,185.44397312462954
422,tampoco,ADV,6352,184.5722527871587
423,mensaje,NOUN,6339,184.194507307588
424,servir,VERB,6331,183.96204855092913
425,seguridad,NOUN,6326,183.81676182801732
426,duro,ADJ,6320,183.64241776052313
427,igual,ADJ,6315,183.49713103761133
428,vender,VERB,6308,183.2937296255348
429,noticia,NOUN,6307,183.26467228095242
430,vivo,ADJ,6273,182.27672256515214
431,medio,NUM,6264,182.0152064639109
432,tãº,PROPN,6263,181.98614911932853
433,oficina,NOUN,6259,181.8699197409991
434,siquiera,ADV,6237,181.23065816018715
435,permitir,VERB,6226,180.91102736978118
436,verdadero,ADJ,6204,180.27176578896925
437,2,NUM,6188,179.80684827565145
438,acerca,ADV,6177,179.48721748524548
439,fácil,ADJ,6171,179.31287341775132
440,alto,ADJ,6162,179.05135731651006
441,sã,PRON,6150,178.70266918152174
442,cerrar,VERB,6149,178.67361183693936
443,romper,VERB,6128,178.06340760070978
444,estã,NOUN,6104,177.3660313307331
445,oh,PROPN,6086,176.84299912825063
446,pasado,ADJ,6069,176.34902427035047
447,orden,NOUN,6069,176.34902427035047
448,escuela,NOUN,6058,176.0293934799445
449,quizás,ADV,6056,175.97127879077976
450,â¿quã,NUM,6036,175.39013189913254
451,aprender,VERB,6035,175.36107455455019
452,sã­,PROPN,6029,175.18673048705602
453,calle,NOUN,6028,175.15767314247364
454,cuándo,PRON,5966,173.35611777836723
455,bebé,NOUN,5965,173.3270604337849
456,información,NOUN,5954,173.00742964337894
457,3,NUM,5933,172.39722540714934
458,sra.,NOUN,5927,172.22288133965515
459,aunque,SCONJ,5855,170.13075252972516
460,final,NOUN,5851,170.0145231513957
461,serio,NOUN,5830,169.40431891516613
462,veces,NOUN,5809,168.79411467893652
463,claro,ADJ,5769,167.63182089564208
464,pie,NOUN,5768,167.60276355105972
465,incluso,ADV,5756,167.2540754160714
466,dólares,NOUN,5748,167.0216166594125
467,5,NUM,5745,166.93444462566544
468,grupo,NOUN,5713,166.00460959902986
469,sr.,VERB,5711,165.94649490986515
470,nave,NOUN,5710,165.91743756528277
471,abajo,ADV,5705,165.77215084237096
472,bajar,VERB,5705,165.77215084237096
473,mostrar,VERB,5665,164.60985705907652
474,señora,NOUN,5662,164.52268502532945
475,aceptar,VERB,5646,164.05776751201165
476,pues,SCONJ,5629,163.56379265411152
477,crear,VERB,5606,162.8954737287172
478,mañana,NOUN,5563,161.64600791167567
479,mío,DET,5551,161.29731977668735
480,raro,ADJ,5551,161.29731977668735
481,habitación,NOUN,5550,161.26826243210496
482,lejos,ADV,5543,161.06486102002842
483,sentido,NOUN,5541,161.00674633086373
484,especial,ADJ,5535,160.83240226336954
485,quitar,VERB,5534,160.8033449187872
486,digar,VERB,5529,160.65805819587538
487,tién,NOUN,5528,160.62900085129303
488,beber,VERB,5527,160.59994350671064
489,tras,ADP,5522,160.45465678379884
490,n,PROPN,5517,160.30937006088703
491,perro,NOUN,5496,159.69916582465746
492,cambio,NOUN,5489,159.49576441258094
493,del,DET,5470,158.94367486551607
494,tal,PRON,5441,158.1010118726276
495,probar,VERB,5440,158.07195452804524
496,lleno,ADJ,5435,157.92666780513343
497,mucho,PRON,5430,157.78138108222163
498,detrás,ADV,5430,157.78138108222163
499,l,PROPN,5421,157.51986498098037
500,simplemente,ADV,5421,157.51986498098037
501,descubrir,VERB,5405,157.0549474676626
502,to,PROPN,5397,156.8224887110037
503,mover,VERB,5385,156.47380057601535
504,mitad,NOUN,5371,156.06699775186232
505,oir,VERB,5332,154.93376131315023
506,viaje,NOUN,5326,154.75941724565604
507,desear,VERB,5325,154.73035990107368
508,relación,NOUN,5309,154.2654423877559
509,justo,ADJ,5308,154.23638504317353
510,supuesto,NOUN,5305,154.14921300942646
511,sentar,VERB,5289,153.6842954961087
512,lista,NOUN,5280,153.42277939486743
513,caja,NOUN,5260,152.8416325032202
514,detener,VERB,5254,152.66728843572602
515,estado,NOUN,5252,152.60917374656134
516,probablemente,ADV,5252,152.60917374656134
517,película,NOUN,5248,152.49294436823186
518,s,CCONJ,5247,152.4638870236495
519,ambos,NUM,5246,152.43482967906715
520,buena,ADJ,5246,152.43482967906715
521,largo,ADJ,5243,152.34765764532006
522,derecho,NOUN,5239,152.23142826699063
523,coger,VERB,5235,152.11519888866118
524,presentar,VERB,5204,151.21442120660797
525,doctor,NOUN,5182,150.57515962579603
526,aparecer,VERB,5171,150.25552883539004
527,srta.,PROPN,5158,149.87778335581936
528,john,PROPN,5150,149.64532459916046
529,modo,NOUN,5139,149.3256938087545
530,ropa,NOUN,5137,149.26757911958978
531,medio,NOUN,5131,149.09323505209562
532,atrás,ADV,5126,148.94794832918382
533,$,PROPN,5087,147.81471189047173
534,libre,ADJ,5083,147.69848251214225
535,respuesta,NOUN,5081,147.64036782297754
536,ud.,PRON,5070,147.32073703257157
537,idiota,NOUN,5053,146.82676217467144
538,segundo,NOUN,5049,146.710532796342
539,debeer,AUX,5044,146.56524607343016
540,loco,ADJ,5042,146.50713138426545
541,paso,NOUN,5037,146.36184466135364
542,programa,NOUN,5037,146.36184466135364
543,enseñar,VERB,5013,145.66446839137697
544,control,NOUN,4977,144.61840398641198
545,cama,NOUN,4966,144.298773196006
546,amiga,NOUN,4943,143.6304542706117
547,cliente,NOUN,4929,143.22365144645863
548,hermoso,ADJ,4887,142.00324297399945
549,fuerza,NOUN,4880,141.79984156192293
550,país,NOUN,4877,141.71266952817584
551,justo,ADV,4876,141.68361218359348
552,niña,NOUN,4869,141.48021077151694
553,adelante,ADV,4865,141.36398139318752
554,arreglar,VERB,4855,141.0734079473639
555,30,NUM,4853,141.01529325819916
556,pueblo,NOUN,4804,139.59148337366346
557,tirar,VERB,4793,139.2718525832575
558,15,NUM,4777,138.80693506993973
559,1,NUM,4769,138.57447631328085
560,abogado,NOUN,4769,138.57447631328085
561,cortar,VERB,4761,138.34201755662193
562,voz,NOUN,4755,138.16767348912776
563,volar,VERB,4741,137.76087066497473
564,cuarto,NOUN,4736,137.61558394206293
565,tierra,NOUN,4720,137.15066642874515
566,carta,NOUN,4713,136.9472650166686
567,error,NOUN,4705,136.7148062600097
568,decir,NOUN,4703,136.656691570845
569,línea,NOUN,4697,136.48234750335084
570,cariño,NOUN,4694,136.39517546960374
571,mandar,VERB,4681,136.01742999003304
572,encima,ADV,4680,135.98837264545068
573,podría,NOUN,4674,135.81402857795652
574,querido,ADJ,4674,135.81402857795652
575,sino,CCONJ,4657,135.32005372005636
576,asesinato,NOUN,4646,135.0004229296504
577,ataque,NOUN,4643,134.91325089590333
578,jack,PROPN,4631,134.56456276091498
579,cargo,NOUN,4619,134.21587462592663
580,contacto,NOUN,4611,133.98341586926773
581,campo,NOUN,4600,133.66378507886176
582,real,ADJ,4599,133.63472773427944
583,muchacho,NOUN,4595,133.51849835594996
584,madre,PROPN,4591,133.40226897762054
585,andar,VERB,4587,133.2860395992911
586,avión,NOUN,4582,133.14075287637928
587,explicar,VERB,4577,132.99546615346748
588,sexo,NOUN,4571,132.82112208597331
589,oer,VERB,4567,132.70489270764384
590,ley,NOUN,4559,132.47243395098496
591,has,AUX,4550,132.21091784974374
592,faltar,VERB,4550,132.21091784974374
593,perfecto,ADJ,4549,132.18186050516135
594,cita,NOUN,4536,131.80411502559065
595,primero,ADV,4530,131.6297709580965
596,conmigo,NOUN,4526,131.51354157976704
597,existir,VERB,4491,130.4965345193844
598,atacar,VERB,4489,130.4384198302197
599,parar,VERB,4488,130.40936248563733
600,bonito,ADJ,4473,129.97350231690191
601,paz,NOUN,4462,129.65387152649595
602,costar,VERB,4461,129.62481418191356
603,hiciste,ADJ,4459,129.56669949274882
604,negro,ADJ,4457,129.5085848035841
605,placer,NOUN,4444,129.13083932401344
606,referir,VERB,4431,128.75309384444273
607,buenas,PROPN,4430,128.72403649986035
608,temer,VERB,4425,128.57874977694854
609,papel,NOUN,4414,128.25911898654257
610,molestar,VERB,4409,128.11383226363077
611,pena,NOUN,4404,127.96854554071896
612,daño,NOUN,4394,127.67797209489537
613,frente,NOUN,4378,127.21305458157758
614,quã,PUNCT,4374,127.09682520324814
615,llave,NOUN,4372,127.03871051408342
616,siguiente,ADJ,4365,126.83530910200687
617,fuego,NOUN,4361,126.71907972367744
618,elegir,VERB,4353,126.48662096701854
619,marido,NOUN,4348,126.34133424410673
620,diferente,ADJ,4343,126.19604752119493
621,tanto,NOUN,4333,125.90547407537132
622,prometer,VERB,4331,125.84735938620659
623,boca,NOUN,4330,125.81830204162425
624,señal,NOUN,4323,125.61490062954772
625,oficial,ADJ,4318,125.46961390663591
626,chico,ADJ,4308,125.1790404608123
627,pelear,VERB,4298,124.88846701498866
628,sala,NOUN,4295,124.8012949812416
629,secreto,NOUN,4287,124.5688362245827
630,decisión,NOUN,4286,124.53977888000036
631,hospital,NOUN,4278,124.30732012334146
632,traje,NOUN,4267,123.98768933293547
633,capaz,ADJ,4265,123.92957464377075
634,cuidar,VERB,4264,123.90051729918841
635,preparar,VERB,4264,123.90051729918841
636,decir yo,VERB,4263,123.87145995460604
637,lograr,VERB,4259,123.7552305762766
638,asã­,PROPN,4256,123.66805854252951
639,evitar,VERB,4252,123.55182916420007
640,víctima,NOUN,4231,122.94162492797048
641,dolor,NOUN,4227,122.82539554964102
642,visto,ADJ,4223,122.70916617131158
643,gusto,NOUN,4211,122.36047803632324
644,cuánto,PRON,4203,122.12801927966437
645,trato,NOUN,4199,122.01178990133491
646,tienda,NOUN,4195,121.89556052300546
647,ofrecer,VERB,4195,121.89556052300546
648,escapar,VERB,4190,121.75027380009367
649,situación,NOUN,4186,121.63404442176422
650,cuanto,NOUN,4182,121.51781504343477
651,no,PART,4170,121.16912690844644
652,dejar él,VERB,4167,121.08195487469936
653,destruir,VERB,4165,121.02384018553462
654,luchar,VERB,4158,120.82043877345811
655,joven,ADJ,4146,120.47175063846976
656,droga,NOUN,4139,120.26834922639324
657,actuar,VERB,4134,120.12306250348144
658,solo,NOUN,4128,119.94871843598726
659,falta,NOUN,4126,119.89060374682255
660,conducir,VERB,4122,119.7743743684931
661,reunión,NOUN,4121,119.74531702391073
662,tengar,VERB,4108,119.36757154434004
